"Run","Sex","Rat","Condition","Extinction 1 (Active Lever Presses)","Footshock Reinstatement (Active Lever Presses)","Dry Ice BSLN","Dry Ice Exp","Von BSLN force in mN","Von Exp force in mN","Hargreaves BSLN","Hargreaves Exp","Baseline ACTH Diurnal PM","Baseline ACTH Diurnal AM = 0 min","Baseline ACTH 30 min","Baseline ACTH 60 min","Baseline ACTH 90 min","Baseline ACTH 150 min","Exp. ACTH Diurnal PM","Exp. ACTH Diurnal AM = 0 min","Exp. ACTH 30 min","Exp. ACTH 60 min","Exp. ACTH 90 min","Exp. ACTH 150 min","Baseline Cort Diurnal PM","Baseline Cort Diurnal AM = 0 min","Baseline Cort 30 min","Baseline Cort 60 min","Baseline Cort 90 min","Baseline Cort 150 min","Exp. Cort Diurnal PM","Exp. Cort Diurnal AM = 0 min","Exp. Cort 30 min","Exp. Cort 60 min","Exp. Cort 90 min","Exp. Cort 150 min","Baseline TL Distance (m) OF","Exp. TL Distance (m) OF","Baseline Time in outer squares (s)","Exp. Time in outer squares (s)","Baseline Cort AUC","Exp. Cort AUC","Baseline ACTH AUC","Exp. ACTH AUC"
"Op2","M",13,"AC",12,0,17.31625,15.47375,80.19683,30.03945,NA,19.4575,136,114,666,202,94,100,156,148,2080,1048,750,516,267.9,149.55,739.8,832.95,425.25,39.15,545.55,257.25,859.2,1308.45,1684,1131,34.578,51.612,581.8,508.4,63864,140010.75,20880,123090
"Op2","M",14,"AC",110,3,16.355,14.1,57.37018,18.92184,NA,16.69875,138,32,952,208,92,32,142,122,790,120,74,40,575.85,12.45,702.3,886.95,437.1,49.8,170.25,272.25,758.25,776.1,484.5,75.15,47.057,49.537,546.1,451,67160.25,62898.75,35580,27660
"Op2","M",15,"AC",20,6,15.95625,14.78125,71.12889,62.86798,NA,17.21875,112,48,2034,732,172,100,124,170,1566,618,174,120,318.45,57.15,854.85,971.4,709.5,117.6,192,282.75,745.5,572.85,354,74.7,37.087,51.795,590,542.8,82527.75,50757.75,87240,61500
"Op2","M",16,"SR",125,34,14.6175,16.87625,28.13188,40.73419,NA,18.68,NA,120,1226,654,148,68,238,86,946,190,136,82,565.95,79.65,737.25,802.65,422.4,59.1,397.65,148.95,629.1,538.5,258.6,45.15,33.619,36.525,580.3,516.4,59307.75,43481.25,56700,31650
"Op2","M",17,"SR",79,3,13.1875,14.81125,61.32546,38.27831,NA,17.7875,144,40,1538,888,224,92,NA,212,1208,228,154,92,505.65,34.65,754.95,818.55,888.9,259.2,169.8,94.8,419.4,455.85,165.9,62.4,42.204,51.17,578.9,469.9,90303.75,27657,80220,42150
"Op2","M",18,"AC",144,6,19.88375,17.9575,70.68152,25.30458,NA,20,154,96,1266,532,216,124,114,162,1096,204,150,150,447.6,80.55,777.6,804.6,727.05,216,222.15,394.05,703.35,485.55,251.25,227.7,42.277,47.714,559.2,428.2,75789,25560,54420,30180
"Op3","M",20,"AC",87,10,16.9475,12.67875,101.46234,18.92184,NA,18.4475,180,96,790,170,78,46,NA,182,788,574,150,152,407.4,133.2,741.75,713.4,153.3,25.2,165.3,266.85,704.85,677.4,336.6,181.8,56.502,41.574,542.2,433.5,49527,38801.25,28230,32400
"Op3","M",21,"SR",75,13,18.98625,12.99,69.77894,98.86877,NA,16.14625,116,38,1012,238,54,34,198,126,1114,272,118,94,632.55,72.45,658.35,626.25,140.7,17.25,192.45,124.8,510.6,518.85,121.8,45.9,35.598,44.281,573,523.4,43886.25,32728.5,36420,37500
"Op3","M",22,"SR",54,26,16.20875,13.7,64.67069,18.92184,NA,16.86125,154,146,1282,254,110,52,540,214,996,260,168,122,208.95,343.5,758.4,746.55,543.75,43.65,506.4,449.55,666.6,570.15,222.75,81.15,43.983,62.816,592.7,482.9,69531.75,44131.5,46980,33810
"Op3","M",23,"AC",61,7,17.24,13.1961979166667,51.4206,34.35145,NA,18.54125,344,122,1038,190,48,38,276,210,450,188,182,162,636.9,242.25,790.95,707.1,254.55,5.55,504.3,190.05,684.3,453.15,74.25,61.2,32.597,62.616,590.7,535.4,59364,32971.5,36270,11040
"Op3","M",24,"SR",99,10,16.56,14.26375,74.71863,24.84496,NA,18.8875,120,40,1288,598,296,88,166,274,1276,440,178,136,366.15,22.65,647.7,724.95,713.4,148.05,174.6,204.3,514.05,399.9,149.7,46.2,40.025,46.885,559.1,463.5,74666.25,31675.5,67140,47280
"Op3","M",26,"SR",60,10,18.48,18.58625,88.09563,46.08646,NA,18.1175,262,240,982,420,64,62,166,94,268,104,78,68,622.8,348.45,697.5,725.85,520.2,185.25,223.35,173.85,546.75,201.75,57.15,45.9,40.511,51.293,580,494.3,49106.25,22126.5,41100,7920
